media href,image src,product-card__title,tw-text-[rgba(var(--color-foreground))],tw-text-[#a38d6f],opinew-stars-plugin-link href,product-form__noscript-wrapper-template--16613934661802__product-grid,Chrome_Top_Notes,Chrome_Heart_Notes,Chrome_Base_Notes,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/kandeel-concentrated-perfume-perfume-12ml-for-unisex,https://in.ajmal.com/cdn/shop/files/KANDEEL_CONCENTRATED_12ML_2.jpg?v=1719382571&width=1600,KANDEEL Non-Alcoholic Attar 12ML for Unisex,"₹1,185.00","₹1,975",https://in.ajmal.com/products/kandeel-concentrated-perfume-perfume-12ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46097058070698"">Default Title - ₹1,185.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>","Floral (Jasmine, Rose )  ", Musky ( Musk)  ," Woody Ambery( Guaiac wood , Cashmerewood , Cedarwood )",,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/colaba-mukhallat-concentrated-perfume-perfume-14ml-for-unisex,https://in.ajmal.com/cdn/shop/files/COLABAMUKHALLAT_CONCENTRATED_12ML_1.jpg?v=1719382886&width=1600,COLABA MUKHALLAT Non-Alcoholic Attar 14ML for Unisex,"₹1,050.00","₹1,500",https://in.ajmal.com/products/colaba-mukhallat-concentrated-perfume-perfume-14ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46097058201770"">Default Title - ₹1,050.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>",Fresh Floral  , Spicy Floral  , Ambery Woody Musky,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/cd-99-mukhallat-concentrated-perfume-perfume-14ml-for-unisex,https://in.ajmal.com/cdn/shop/files/CD99MUKHALLAT_CONCENTRATED_14ML_1.png?v=1746422459&width=1600,CD99 MUKHALLAT Non-Alcoholic Attar 14ML for Unisex,"₹1,050.00","₹1,500",https://in.ajmal.com/products/cd-99-mukhallat-concentrated-perfume-perfume-14ml-for-unisex,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46097057972394"">Default Title - ₹1,050.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>",Floral  , Spicy  , Ambery Musky,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/royal-oud-kuwaiti-attar-concentrated-perfume-for-unisex-10-ml,https://in.ajmal.com/cdn/shop/files/ROYAL-OUD-KUWAITI_CONCENTRATED_10ML_1.jpg?v=1723816827&width=1600,ROYAL-OUD-KUWAITI Non-Alcoholic Attar 10ML for Unisex,"₹1,039.00","₹1,299",https://in.ajmal.com/products/royal-oud-kuwaiti-attar-concentrated-perfume-for-unisex-10-ml,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46190312521898"">Default Title - ₹1,039.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>","Cypriol, Pink Pepper,Cedarwood  "," Patchouli, Amber  "," Vetiver, Raspberry, Musk",,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/royal-misk-rijali-attar-concentrated-perfumefor-unisex-10-ml,https://in.ajmal.com/cdn/shop/files/ROYAL-MISK-RIJALI_CONCENTRATED_10ML_1.jpg?v=1723816924&width=1600,ROYAL-MISK-RIJALI Non-Alcoholic Attar 10ML for Unisex,₹999.00,"₹1,299",https://in.ajmal.com/products/royal-misk-rijali-attar-concentrated-perfumefor-unisex-10-ml,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46190312718506"">Default Title - ₹999.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>",Musky  , Musky  , Floral,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/royal-pearl-concentrated-perfume-attar-for-women-10-ml,https://in.ajmal.com/cdn/shop/files/ROYAL-PEARL_CONCENTRATED_10ML_1.jpg?v=1723816454&width=1600,ROYAL-PEARL Non-Alcoholic Attar 10ML for Women,₹649.50,"₹1,299",https://in.ajmal.com/products/royal-pearl-concentrated-perfume-attar-for-women-10-ml,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46190302953642"">Default Title - ₹999.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>","Citrus, Fruity  ", Floral  ," Woody, Musky",,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/ajmal-mukhallat-al-wafa-attar-pack-of-2-non-alcoholic-unisex-perfume-12-ml-each,https://in.ajmal.com/cdn/shop/files/2MUKHALLATALWAFA_CONCENTRATED_12ML.jpg?v=1731563533&width=1600,Ajmal Mukhallat Al Wafa Attar (Pack of 2) Non-Alcoholic Unisex Perfume- 12 ML Each,₹999.00,"₹1,500",https://in.ajmal.com/products/ajmal-mukhallat-al-wafa-attar-pack-of-2-non-alcoholic-unisex-perfume-12-ml-each,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46350794260650"">Default Title - ₹999.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>",Spicy Fresh  , Woody Spicy  , Powdery Oudhy,,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/royal-love-attar-concentrated-perfume-for-women-10-ml-1,https://in.ajmal.com/cdn/shop/files/ROYAL-LOVE_CONCENTRATED_10ML_1.jpg?v=1723816719&width=1600,ROYAL-LOVE Non-Alcoholic Attar 10ML for Women,₹649.50,"₹1,299",https://in.ajmal.com/products/royal-love-attar-concentrated-perfume-for-women-10-ml-1,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46190314619050"">Default Title - ₹999.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>","White Florals, Fruity  ", Woody  ," Sandalwood, Hazelnut",,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/royal-galaxy-attar-concentrated-perfume-for-unisex-10-ml,https://in.ajmal.com/cdn/shop/files/ROYAL-GALAXY_CONCENTRATED_10ML_1.jpg?v=1723816973&width=1600,ROYAL-GALAXY Non-Alcoholic Attar 10ML for Unisex,₹999.00,"₹1,299",https://in.ajmal.com/products/royal-galaxy-attar-concentrated-perfume-for-unisex-10-ml,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46190312620202"">Default Title - ₹999.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>","Floral, Spicy  ", Musky  ," Ambery, Woody",,,,,,,,,,,,
https://in.ajmal.com/collections/concentrated-perfume/products/royal-misk-sapphire-attar-concentrated-perfume-for-unisex-10-ml,https://in.ajmal.com/cdn/shop/files/ROYAL-MISK-SAPPHIRE_CONCENTRATED_10ML_1.jpg?v=1723816884&width=1600,ROYAL-MISK-SAPPHIRE Non-Alcoholic Attar 10ML for Unisex,₹999.00,"₹1,299",https://in.ajmal.com/products/royal-misk-sapphire-attar-concentrated-perfume-for-unisex-10-ml,"<div class=""product-form__input hidden"">
    <label class=""form__label"" for=""Variants-template--16613934661802__product-grid"">Product variants</label>
    <div class=""select"">
      <select name=""id"" id=""Variants-template--16613934661802__product-grid"" class=""select__select"" form=""""><option selected=""selected"" value=""46190312456362"">Default Title - ₹999.00</option></select>
      <svg aria-hidden=""true"" focusable=""false"" class=""icon icon-caret"" viewBox=""0 0 10 6"">
  <path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M9.354.646a.5.5 0 00-.708 0L5 4.293 1.354.646a.5.5 0 00-.708.708l4 4a.5.5 0 00.708 0l4-4a.5.5 0 000-.708z"" fill=""currentColor"">
</path></svg>

    </div>
  </div>",Musky  , Musky  ," Musky, Powdery",,,,,,,,,,,,
